frase_teste,saida_correta,predicao_sistema
a unk que falta e unk a qual irá unk a=partir=de o momento em que se unk em o planalto é exatamente a mais difícil de se obter $. $¶,"['DET', 'N', 'SPEC', 'V', 'KC', 'PRP', 'PRP', 'DET', 'V', 'FHC', 'PRP', 'DET', 'N', 'PRP', 'KS', 'PERS', 'V', 'PRP', 'DET', 'N', 'V', 'ADV', 'DET', 'KOMP', 'ADJ', 'PRP', 'PERS', 'V', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
unk se unk fiscal e significa um equilíbrio mais estrutural de as contas públicas $. $¶,"['V', 'PERS', 'N', 'ADJ', 'KC', 'V', 'DET', 'N', 'KOMP', 'ADJ', 'PRP', 'DET', 'N', 'ADJ', 'PU', 'PU']","['DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'V', 'PRP', 'N', 'PRP', 'N', 'PRP', 'N', 'PU', 'PU', 'PU']"
para que se unk um ajuste fiscal unk é preciso unk algumas unk de a constituição brasileira ponto em que estão de=acordo quase todos=os economistas de unk ou de esquerda de o governo ou unk ele $. $¶,"['PRP', 'KS', 'PERS', 'V', 'DET', 'N', 'ADJ', 'ADJ', 'V', 'ADJ', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'N', 'PRP', 'KS', 'V', 'ADV', 'ADV', 'DET', 'N', 'PRP', 'N', 'KC', 'PRP', 'N', 'PRP', 'DET', 'N', 'KC', 'PRP', 'PERS', 'PU', 'PU']","['DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'KC', 'UNK', 'DET', 'N', 'V', 'V', 'KS', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'UNK', 'DET', 'N', 'ADV', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
o próprio presidente enquanto candidato deixou claro que suas primeiras prioridades são as reformas constitucionais unk para o saneamento de as contas públicas $. $¶,"['DET', 'DET', 'N', 'ADV', 'N', 'V', 'ADV', 'KS', 'S', 'NUM', 'N', 'V', 'DET', 'N', 'ADJ', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'PU', 'PU']","['N', 'PRP', 'DET', 'N', 'V', 'KS', 'DET', 'N', 'PRP', 'N', 'V', 'N', 'PRP', 'DET', 'V', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'PU', 'PU', 'PU']"
mais exatamente trata- se de as reformas unk de a previdência=social e de o chamado unk unk ou=seja a distribuição de funções e unk entre a união os estados e os municípios $. $¶,"['KOMP', 'ADV', 'V', 'PERS', 'PRP', 'DET', 'N', 'ADJ', 'PRP', 'DET', 'P', 'KC', 'PRP', 'DET', 'ADJ', 'N', 'ADJ', 'ADV', 'DET', 'N', 'PRP', 'N', 'KC', 'N', 'PRP', 'DET', 'N', 'DET', 'N', 'KC', 'DET', 'N', 'PU', 'PU']","['V', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
conjunto tão unk de reformas como é unk unk com unk interesses unk e unk unk $. $¶,"['N', 'ADV', 'ADJ', 'PRP', 'N', 'ADV', 'V', 'ADJ', 'V', 'PRP', 'ADJ', 'N', 'V', 'KC', 'N', 'ADJ', 'PU', 'PU']","['V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'UNK', 'DET', 'N']"
logo não será nada fácil unk unk ainda mais porque a constituição exige um quórum elevado $( unk de cada casa de o congresso em duas unk $) para a aprovação de emendas $. $¶,"['ADV', 'ADV', 'V', 'ADV', 'ADJ', 'V', 'PERS', 'ADV', 'KOMP', 'KS', 'DET', 'N', 'V', 'DET', 'N', 'ADJ', 'PU', 'NUM', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'NUM', 'N', 'PU', 'PRP', 'DET', 'N', 'PRP', 'N', 'PU', 'PU']","['PU', 'N', 'PRP', 'DET', 'ADJ', 'UNK', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'ADJ', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
unk o ministério de unk unk essas prioridades $. $¶,"['ADV', 'DET', 'N', 'PRP', 'FHC', 'V', 'DET', 'N', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'UNK', 'UNK', 'N', 'V', 'DET', 'N']"
em unk de uma maioria em o congresso unk politicamente não apenas com os partidos que unk a unk que o elegeu $( pfl e unk $) mas também com um teórico unk o pmdb a unk de maior bancada em ambas as casas de o congresso $. $¶,"['PRP', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'ADV', 'ADV', 'ADV', 'PRP', 'DET', 'N', 'SPEC', 'V', 'DET', 'N', 'SPEC', 'PERS', 'V', 'PU', 'PFL', 'KC', 'PTB', 'PU', 'KC', 'ADV', 'PRP', 'DET', 'N', 'ADJ', 'DET', 'PMDB', 'DET', 'N', 'PRP', 'KOMP', 'N', 'PRP', 'DET', 'DET', 'N', 'PRP', 'DET', 'N', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'ADV', 'V', 'UNK', 'N', 'PRP', 'DET', 'N', 'V', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'UNK', 'N', 'PRP', 'DET', 'UNK', 'N', 'PRP', 'DET', 'N', 'N', 'PRP', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET']"
o resultado de essa composição só se unk mais adiante e unk a ser unk para que o novo presidente unk ou não a expectativa unk que unk a sua posse $. $¶,"['DET', 'N', 'PRP', 'DET', 'N', 'ADV', 'PERS', 'V', 'KOMP', 'ADV', 'KC', 'V', 'PRP', 'V', 'ADJ', 'PRP', 'KS', 'DET', 'ADJ', 'N', 'V', 'KC', 'ADV', 'DET', 'N', 'ADJ', 'SPEC', 'V', 'DET', 'S', 'N', 'PU', 'PU']","['PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
de=acordo com levantamento de o datafolha são unk $% os brasileiros que unk de fernando=henrique um governo ótimo $/ bom $. $¶,"['ADV', 'PRP', 'N', 'PRP', 'DET', 'PROP', 'V', 'NUM', 'N', 'DET', 'N', 'SPEC', 'V', 'PRP', 'F', 'DET', 'N', 'SUP', 'PU', 'ADJ', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'N', 'PRP', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
é uma unk superior a a que deu a vitória a unk um sinal positivo $. $¶,"['V', 'DET', 'N', 'SUP', 'PRP', 'DET', 'SPEC', 'V', 'DET', 'N', 'PRP', 'FHC', 'DET', 'N', 'ADJ', 'PU', 'PU']","['DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
mas em=contrapartida é praticamente a mesma unk de os unk em=relação=a fernando=collor a as unk de a posse de este em 1990 $. $¶,"['KC', 'ADV', 'V', 'ADV', 'DET', 'KOMP', 'N', 'PRP', 'DET', 'N', 'PRP', 'F', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'PRP', 'NUM', 'PU', 'PU']","['DET', 'N', 'V', 'ADV', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'N', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'N', 'PRP', 'N', 'PRP', 'DET', 'N']"
unk se portanto que a confiança de o público nada unk unk a o unk $. $¶,"['V', 'PERS', 'ADV', 'KS', 'DET', 'N', 'PRP', 'DET', 'N', 'SPEC', 'V', 'ADV', 'PRP', 'DET', 'N', 'PU', 'PU']","['PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'PU', 'PU', 'UNK', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N']"
vai ser necessária ação muita ação $ e muito unk $. $¶,"['V', 'V', 'ADJ', 'N', 'DET', 'N', 'PU', 'KC', 'ADV', 'ADJ', 'PU', 'PU']","['DET', 'N', 'ADJ', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N']"
e de pouco unk resolver o desafio de a unk e por unk de uma estabilização mais unk e unk se ela não servir de unk para se enfrentar o desafio social $. $¶,"['KC', 'PRP', 'DET', 'V', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'KC', 'PRP', 'N', 'PRP', 'DET', 'N', 'KOMP', 'ADJ', 'KC', 'ADJ', 'KS', 'PERS', 'ADV', 'V', 'PRP', 'N', 'PRP', 'PERS', 'V', 'DET', 'N', 'ADJ', 'PU', 'PU']","['DET', 'N', 'PRP', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET']"
a miséria e a unk social em o brasil é sempre bom lembrar não foram unk por a unk unk esta tenha unk unk o quadro $. $¶,"['DET', 'N', 'KC', 'DET', 'N', 'ADJ', 'PRP', 'DET', 'B', 'V', 'ADV', 'ADJ', 'V', 'ADV', 'V', 'V', 'PRP', 'DET', 'N', 'KS', 'DET', 'V', 'V', 'ADV', 'DET', 'N', 'PU', 'PU']","['N', 'PRP', 'DET', 'N', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'UNK', 'N', 'ADJ', 'UNK', 'UNK', 'PRP', 'DET', 'N', 'PRP']"
logo a estabilização é condição necessária mas não suficiente para se iniciar o processo de unk de o escândalo social que é o brasil $. $¶,"['ADV', 'DET', 'N', 'V', 'N', 'ADJ', 'KC', 'ADV', 'ADJ', 'PRP', 'PERS', 'V', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'ADJ', 'SPEC', 'V', 'DET', 'B', 'PU', 'PU']","['KS', 'DET', 'N', 'PRP', 'DET', 'ADJ', 'PRP', 'DET', 'N', 'PRP', 'N', 'ADJ', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
no=caso=de fernando=henrique=cardoso o unk com a questão social não é apenas de o candidato mas uma história de vida como sociólogo primeiro e como parlamentar depois $. $¶,"['PRP', 'F', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'ADV', 'V', 'ADV', 'PRP', 'DET', 'N', 'KC', 'DET', 'N', 'PRP', 'N', 'ADV', 'N', 'NUM', 'KC', 'ADV', 'ADJ', 'ADV', 'PU', 'PU']","['ADV', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'ADJ', 'PRP', 'DET', 'N', 'PU', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
o=que se vai ver agora é se as novas unk que o intelectual unk para a campanha unk ou não em o governo como unk para a sua preocupação com o social $. $¶,"['SPEC', 'PERS', 'V', 'V', 'ADV', 'V', 'KS', 'DET', 'ADJ', 'N', 'SPEC', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'V', 'KC', 'ADV', 'PRP', 'DET', 'N', 'ADV', 'N', 'PRP', 'DET', 'S', 'N', 'PRP', 'DET', 'ADJ', 'PU', 'PU']","['PRP', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PU', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
se unk o brasil corre o risco de unk 30 anos depois uma unk frase de o então presidente o unk unk $: o país vai bem mas o=povo vai mal $. $¶,"['KS', 'V', 'DET', 'B', 'V', 'DET', 'N', 'PRP', 'V', 'NUM', 'N', 'ADV', 'DET', 'ADJ', 'N', 'PRP', 'DET', 'ADJ', 'N', 'DET', 'N', 'G', 'PU', 'DET', 'N', 'V', 'ADV', 'KC', 'N', 'V', 'ADV', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'V', 'PRP', 'UNK', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
seria um unk unk para uma carreira até aqui unk $. $¶,"['V', 'DET', 'ADJ', 'N', 'PRP', 'DET', 'N', 'PRP', 'ADV', 'ADJ', 'PU', 'PU']","['DET', 'N', 'UNK', 'UNK', 'DET', 'N', 'ADJ', 'PRP', 'N', 'PRP', 'DET', 'N']"
a idéia de o futuro ministro de a justiça unk de alterar a unk unk brasileira para unk melhor consumidores de traficantes é de=fato interessante $. $¶,"['DET', 'N', 'PRP', 'DET', 'ADJ', 'N', 'PRP', 'DET', 'N', 'N', 'PRP', 'V', 'DET', 'N', 'ADJ', 'ADJ', 'PRP', 'V', 'SUP', 'ADJ', 'PRP', 'N', 'V', 'ADJ', 'ADJ', 'PU', 'PU']","['DET', 'N', 'PRP', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'UNK', 'DET', 'N', 'UNK', 'N', 'PRP', 'DET', 'N', 'PU', 'PU', 'PU', 'PU', 'PU']"
unk se unk dizer que chega relativamente tarde a o brasil $. $¶,"['V', 'PERS', 'ADV', 'V', 'KS', 'V', 'ADV', 'ADV', 'PRP', 'DET', 'B', 'PU', 'PU']","['DET', 'N', 'UNK', 'ADV', 'DET', 'N', 'KC', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
países como espanha e unk e mesmo alguns unk já unk o consumo pessoal de unk drogas $. $¶,"['N', 'ADV', 'E', 'KC', 'H', 'KC', 'ADV', 'DET', 'E', 'ADV', 'V', 'DET', 'N', 'ADJ', 'PRP', 'V', 'N', 'PU', 'PU']","['PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
em o brasil contudo uma pessoa que unk unk unk de unk unk pode ser unk a até 15 anos de unk $. $¶,"['PRP', 'DET', 'B', 'ADV', 'DET', 'N', 'SPEC', 'V', 'N', 'SUP', 'PRP', 'N', 'N', 'V', 'V', 'V', 'DET', 'PRP', 'NUM', 'N', 'PRP', 'N', 'PU', 'PU']","['PRP', 'DET', 'N', 'ADJ', 'PRP', 'NUM', 'N', 'UNK', 'UNK', 'UNK', 'PRP', 'UNK', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
é unk que um único dia em a cadeia $ o=que não dizer de 15 anos $ só vai agravar ainda mais a situação unk de alguém já unk unk para ter unk a o unk $. $¶,"['V', 'ADJ', 'KS', 'DET', 'ADJ', 'N', 'PRP', 'DET', 'N', 'PU', 'SPEC', 'ADV', 'V', 'PRP', 'NUM', 'N', 'PU', 'ADV', 'V', 'V', 'ADV', 'KOMP', 'DET', 'N', 'ADJ', 'PRP', 'SPEC', 'ADV', 'ADV', 'V', 'PRP', 'V', 'V', 'PRP', 'DET', 'N', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'PU', 'PU', 'PU', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'UNK', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N']"
unk unk o usuário de o unk é portanto uma modernização mais do=que necessária em o unk brasileiro $. $¶,"['V', 'ADV', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'ADV', 'DET', 'N', 'KOMP', 'KS', 'ADJ', 'PRP', 'DET', 'D', 'ADJ', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'ADJ', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
manter a unk como está é unk o unk com sua vítima $. $¶,"['V', 'DET', 'N', 'ADV', 'V', 'V', 'V', 'DET', 'N', 'PRP', 'S', 'N', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'DET', 'N']"
equivale a unk um unk por unk se unk unk $. $¶,"['V', 'PRP', 'V', 'DET', 'V', 'PRP', 'V', 'PERS', 'V', 'V', 'PU', 'PU']","['V', 'PRP', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'UNK', 'UNK', 'DET', 'N']"
e já=que o futuro ministro parece disposto a promover uma discussão unk sobre as drogas por=que não fazer avançar como esta folha defende um debate unk e unk sobre a proposta de de=fato unk o uso de drogas $? $¶,"['KC', 'KS', 'DET', 'ADJ', 'N', 'V', 'V', 'PRP', 'V', 'DET', 'N', 'ADJ', 'PRP', 'DET', 'N', 'ADV', 'ADV', 'V', 'V', 'ADV', 'DET', 'F', 'V', 'DET', 'N', 'ADJ', 'KC', 'ADJ', 'PRP', 'DET', 'N', 'PRP', 'ADV', 'V', 'DET', 'N', 'PRP', 'N', 'PU', 'PU']","['DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'ADJ', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'DET', 'N', 'V', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'ADJ', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET']"
diante=de o unk que se revelou a política de repressão a o tráfico que apenas unk muito dinheiro de os unk sem ter conseguido reduzir de forma unk o comércio de unk e toda=a violência que o unk vem ganhando unk a tese de simplesmente unk o uso de unk a=exemplo de o que ocorre atualmente com o unk em a maior parte de o mundo $. $¶,"['PRP', 'DET', 'N', 'KS', 'PERS', 'V', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'KS', 'ADV', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'V', 'V', 'V', 'PRP', 'N', 'ADJ', 'DET', 'N', 'PRP', 'N', 'KC', 'DET', 'N', 'SPEC', 'PERS', 'V', 'V', 'V', 'N', 'DET', 'N', 'PRP', 'ADV', 'V', 'DET', 'N', 'PRP', 'N', 'ADV', 'PRP', 'DET', 'SPEC', 'V', 'ADV', 'PRP', 'DET', 'N', 'PRP', 'DET', 'KOMP', 'N', 'PRP', 'DET', 'N', 'PU', 'PU']","['V', 'PRP', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'ADV', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'PRP', 'DET', 'UNK', 'PU', 'PU', 'PU', 'PRP', 'DET', 'N', 'UNK', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'UNK', 'V', 'ADV', 'UNK', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'SPEC', 'V', 'DET', 'N', 'ADV', 'PU', 'PU', 'PU', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
essa idéia tem defensores unk como o unk de a unk econômica unk e o liberal unk unk unk $. $¶,"['DET', 'N', 'V', 'N', 'ADJ', 'ADV', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'M', 'KC', 'DET', 'ADJ', 'N', 'ADJ', 'T', 'PU', 'PU']","['N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'ADV', 'UNK', 'DET', 'N', 'PRP', 'UNK', 'UNK', 'UNK', 'DET', 'N']"
